Фрейм,Амплитуда
340,0.68426716
341,0.64586985
342,0.61863583
343,0.58943754
344,0.57153964
345,0.5749544
346,0.5565503
347,0.53043306
348,0.50707704
349,0.49512482
350,0.48843062
351,0.47442108
352,0.45544115
353,0.456035
354,0.47100872
355,0.4628401
356,0.4508121
357,0.44399008
358,0.4329421
359,0.41377267
360,0.41224945
361,0.6025626
362,0.99437976
363,0.9900876
364,0.75645185
365,0.6583042
366,0.6029797
367,0.5894564
368,0.5805577
369,0.56703717
370,0.705052
371,1.2243121
372,1.1714483
373,0.87074155
374,0.748563
375,0.68957967
376,0.6489235
377,0.62072545
378,0.5922847
379,0.5971048
380,0.6006876
381,0.56743824
382,0.53898525
383,0.5668026
384,0.6552988
385,0.5986694
386,0.47025168
387,0.72297823
388,1.1366408
389,1.0935763
390,0.7580428
391,0.6609059
392,0.5953875
393,0.5634577
394,0.56871873
395,0.5418098
396,0.5194014
397,0.5161224
398,0.50888646
399,0.49362105
400,0.4934991
401,0.54318017
402,0.61442554
403,0.5234366
404,0.7522583
405,0.9849974
406,0.7417032
407,0.6064371
408,0.53416204
409,0.502909
410,0.510404
411,0.5279053
412,0.57148725
413,0.59760135
414,0.97298366
415,0.9964289
416,0.78432536
417,0.71690506
418,0.6531484
419,0.6284662
420,0.6290748
421,0.7257986
422,0.8474726
423,1.1620804
424,1.0159105
425,0.708568
426,0.59924346
427,0.53528714
428,0.5110367
429,0.46260798
430,0.41948283
431,0.4198253
432,0.41825625
433,0.40272164
434,0.39394006
435,0.38732672
436,0.36065733
437,0.38936225
438,0.8094315
439,1.0285895
440,0.716565
441,0.59399045
442,0.5773983
443,0.54335773
444,0.50127316
445,0.47897282
446,0.4553672
447,0.54131365
448,0.9991035
449,1.0234258
450,0.7350717
451,0.6351716
452,0.58142185
453,0.52804357
454,0.5013354
455,0.49425426
456,0.50860155
457,0.49326143
458,0.46856338
459,0.4486788
460,0.4371872
461,0.49797314
462,0.6447095
463,0.68251514
464,0.5601565
465,0.9583799
466,1.094978
467,0.74410576
468,0.628984
469,0.61492294
470,0.5928178
471,0.56829584
472,0.7891949
473,1.3817952
474,1.5853065
475,1.1126295
476,0.88845325
477,0.82542735
478,0.7286598
479,0.67765516
480,0.64628345
481,0.5967882
482,0.5948634
483,0.6238562
484,0.6491013
485,0.6773235
486,0.66951895
487,0.63515115
488,0.62317765
489,0.6251935
